Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,Car Age
VW,Passat,1.8,Diesel,2021,11220,50346,1
Ford,Mondeo,1.6,Diesel,2021,1848,47156,1
VW,Passat,1.6,Diesel,1998,217419,2215,24
BMW,Z4,2.4,Petrol,2005,98933,11536,17
BMW,Z4,2.4,Petrol,2012,55189,24802,10
VW,Passat,1.4,Petrol,2018,16720,33618,4
Ford,Fiesta,1.0,Petrol,2021,11928,23456,1
Ford,Fiesta,1.4,Diesel,2005,109130,5361,17
VW,Passat,1.8,Petrol,1990,232670,1143,32
Toyota,Prius,1.8,Hybrid,1996,164842,3683,26
VW,Polo,2.0,Petrol,2000,211164,1927,22
BMW,M5,4.0,Petrol,1997,54937,21273,25
VW,Golf,1.6,Hybrid,2008,114135,9384,14
Toyota,RAV4,1.8,Hybrid,2002,112786,9791,20
Ford,Fiesta,1.0,Petrol,2016,32510,14992,6
VW,Passat,1.6,Diesel,1997,117648,4785,25
Ford,Fiesta,1.4,Petrol,2018,31899,20341,4
BMW,M5,5.0,Petrol,2017,32675,103303,5
Ford,Focus,1.4,Petrol,2017,41349,26094,5
VW,Passat,1.6,Diesel,2021,19162,45482,1
Toyota,RAV4,2.4,Hybrid,1998,138108,7111,24
Ford,Focus,2.0,Petrol,1999,169895,3648,23
BMW,M5,4.4,Petrol,2011,77291,48963,11
VW,Polo,1.0,Petrol,2011,43820,10308,11
Ford,Fiesta,1.2,Petrol,2018,29927,19047,4
BMW,Z4,2.0,Petrol,2010,87141,15994,12
Ford,Mondeo,1.6,Diesel,1995,207412,1877,27
VW,Polo,1.6,Petrol,2020,36754,24787,2
VW,Golf,2.0,Petrol,1994,72599,4631,28
Toyota,Yaris,1.4,Hybrid,2004,116451,6280,18
Ford,Fiesta,1.4,Petrol,2015,27049,17123,7
Ford,Fiesta,1.0,Petrol,1990,287819,336,32
VW,Passat,2.0,Diesel,2014,48940,26796,8
VW,Passat,2.0,Diesel,2004,160030,6079,18
Ford,Focus,1.8,Diesel,1990,295462,638,32
Ford,Fiesta,1.4,Petrol,2004,91953,5417,18
Toyota,RAV4,2.4,Hybrid,2009,108213,18659,13
VW,Golf,1.8,Petrol,2010,80866,12065,12
VW,Polo,1.2,Petrol,2009,82931,7655,13
VW,Polo,1.2,Petrol,2012,55906,11196,10
VW,Passat,1.6,Petrol,1993,161306,2461,29
Porsche,718 Cayman,2.0,Petrol,2011,91377,20063,11
Toyota,Yaris,1.0,Hybrid,1992,309608,433,30
Porsche,911,3.0,Petrol,2009,72019,43382,13
VW,Polo,2.0,Petrol,2019,20993,28369,3
BMW,Z4,2.4,Petrol,1997,126718,5486,25
VW,Passat,2.0,Diesel,1986,162029,1800,36
VW,Passat,1.8,Diesel,2006,117599,9252,16
VW,Passat,1.6,Diesel,2003,156891,5221,19
VW,Polo,1.6,Petrol,1994,176388,1566,28
VW,Polo,1.0,Petrol,1999,170804,1812,23
VW,Passat,2.0,Diesel,1997,68397,7613,25
Toyota,Prius,1.0,Hybrid,2011,62371,16142,11
BMW,X3,3.0,Petrol,2004,85374,13959,18
VW,Polo,1.0,Petrol,2002,65005,4947,20
VW,Golf,1.2,Diesel,2004,122072,5125,18
Toyota,RAV4,2.4,Petrol,2009,56179,22309,13
Toyota,Yaris,1.4,Petrol,2021,13421,31882,1
Toyota,RAV4,2.4,Hybrid,2019,18103,65316,3
Toyota,RAV4,1.8,Hybrid,2014,29403,38049,8
Ford,Mondeo,2.0,Hybrid,2013,67160,24127,9
Ford,Fiesta,1.0,Diesel,2016,34042,15602,6
Toyota,Prius,1.8,Hybrid,2006,71193,14639,16
VW,Golf,1.2,Petrol,2018,39175,21976,4
Toyota,Yaris,1.2,Petrol,1999,95912,4044,23
Porsche,Cayenne,3.5,Petrol,1988,188603,3120,34
BMW,M5,4.4,Petrol,2017,23686,102001,5
VW,Passat,1.8,Diesel,2017,62350,28513,5
VW,Polo,1.2,Petrol,2021,9638,26691,1
VW,Polo,1.6,Petrol,1993,105327,2589,29
Porsche,718 Cayman,2.0,Petrol,2018,49146,42425,4
Toyota,Prius,1.4,Hybrid,2019,39053,37658,3
Toyota,Yaris,1.4,Petrol,2008,43366,11297,14
VW,Passat,2.0,Diesel,2011,18520,26199,11
VW,Passat,1.8,Diesel,2013,46890,24085,9
Porsche,718 Cayman,4.0,Petrol,1999,109833,11137,23
Toyota,RAV4,2.4,Hybrid,1998,167198,5600,24
Ford,Fiesta,1.0,Petrol,2014,77144,9890,8
Toyota,Prius,1.8,Hybrid,1997,100912,6520,25
Ford,Fiesta,1.0,Petrol,1995,200968,1041,27
BMW,X3,3.0,Diesel,2018,37744,50765,4
Ford,Focus,1.0,Petrol,2022,5251,37645,0
Ford,Mondeo,2.0,Diesel,2015,73565,23111,7
Ford,Mondeo,1.8,Hybrid,1992,185073,2266,30
Toyota,Yaris,1.4,Hybrid,2006,106638,7726,16
VW,Golf,2.0,Petrol,2005,38937,11942,17
Toyota,RAV4,2.2,Hybrid,2010,81674,23122,12
VW,Polo,1.6,Petrol,2008,44678,10620,14
Toyota,Prius,1.4,Hybrid,2013,43059,24642,9
VW,Polo,1.6,Petrol,1993,163004,1640,29
Ford,Focus,1.4,Petrol,2011,76464,13957,11
VW,Golf,1.4,Diesel,2009,137631,6837,13
Ford,Focus,1.4,Diesel,2003,99310,7316,19
Ford,Mondeo,2.0,Diesel,2018,16440,39994,4
VW,Polo,2.0,Petrol,2020,9198,32310,2
Ford,Fiesta,1.4,Petrol,2009,68403,8894,13
Porsche,718 Cayman,2.0,Petrol,2011,64632,24100,11
Ford,Focus,1.8,Diesel,2010,90139,14132,12
VW,Passat,2.0,Diesel,2010,135889,11040,12
BMW,X3,3.0,Diesel,2005,172179,7955,17
VW,Golf,1.8,Diesel,2013,60402,17746,9
Toyota,Prius,1.4,Hybrid,2000,133459,5479,22
Ford,Focus,1.8,Petrol,2020,14548,42097,2
Ford,Fiesta,1.2,Petrol,2003,136647,3344,19
Ford,Mondeo,2.0,Diesel,2001,191368,3606,21
VW,Passat,2.0,Petrol,2019,9174,44712,3
Toyota,Prius,1.0,Hybrid,2017,49875,26076,5
Toyota,Yaris,1.4,Petrol,2008,71391,9444,14
VW,Golf,1.8,Petrol,2011,112020,10294,11
VW,Golf,1.8,Hybrid,2013,76290,18249,9
Ford,Fiesta,1.4,Petrol,2001,173368,2335,21
VW,Golf,1.4,Petrol,1997,240570,1200,25
Porsche,718 Cayman,4.0,Petrol,2016,62614,48198,6
Ford,Mondeo,1.4,Diesel,2017,37747,27740,5
BMW,M5,4.4,Petrol,1992,99464,11793,30
Toyota,Prius,1.8,Hybrid,2019,17059,48399,3
Porsche,911,3.0,Petrol,2010,105415,36609,12
Toyota,Yaris,1.2,Hybrid,2004,112058,6011,18
Ford,Fiesta,1.4,Petrol,1996,212935,1184,26
VW,Passat,1.8,Diesel,2009,67052,16218,13
Ford,Focus,1.0,Diesel,2003,146656,4288,19
Ford,Fiesta,1.4,Diesel,2001,117830,3844,21
VW,Golf,1.4,Petrol,1994,205613,1347,28
Ford,Fiesta,1.0,Petrol,2008,53532,7743,14
VW,Polo,1.2,Petrol,2001,136336,3011,21
Toyota,Prius,1.0,Hybrid,2006,43273,13043,16
Ford,Fiesta,1.4,Diesel,1993,159391,1618,29
VW,Passat,1.4,Petrol,1995,200460,1879,27
VW,Polo,2.0,Petrol,1990,245661,723,32
Ford,Focus,1.4,Diesel,2019,37632,32010,3
VW,Golf,1.6,Petrol,1999,128561,3840,23
Ford,Mondeo,1.4,Petrol,1996,176487,2341,26
Porsche,Cayenne,4.0,Petrol,2000,155199,9854,22
VW,Passat,2.0,Diesel,1993,229716,1588,29
VW,Golf,1.4,Diesel,2005,165238,4176,17
Toyota,RAV4,2.4,Hybrid,1986,185001,2161,36
VW,Polo,1.4,Petrol,2003,98747,4952,19
Ford,Focus,1.8,Petrol,1999,134532,4626,23
Ford,Focus,2.0,Diesel,1997,127968,4718,25
VW,Polo,1.2,Petrol,2017,31347,18139,5
VW,Passat,1.8,Diesel,1990,238814,1135,32
VW,Passat,2.0,Diesel,1988,143153,2402,34
VW,Polo,1.4,Petrol,1991,194011,1030,31
Toyota,Prius,1.8,Hybrid,2009,95917,15049,13
Ford,Mondeo,1.6,Petrol,2001,136634,4856,21
VW,Passat,1.8,Diesel,2000,158785,4463,22
Toyota,RAV4,2.0,Petrol,1992,140598,3554,30
Ford,Fiesta,1.0,Petrol,2012,43219,10775,10
Porsche,Cayenne,4.0,Diesel,1993,95275,10331,29
Toyota,RAV4,2.4,Petrol,2021,13997,63587,1
Ford,Fiesta,1.0,Diesel,2005,102896,4746,17
Toyota,RAV4,1.8,Hybrid,2016,42350,40285,6
Ford,Mondeo,1.4,Diesel,2009,109387,10038,13
BMW,X3,2.0,Diesel,1999,92943,8127,23
BMW,Z4,2.2,Petrol,2001,71064,10283,21
VW,Polo,1.0,Petrol,1988,259743,393,34
Toyota,Prius,1.4,Hybrid,2014,57422,24086,8
Ford,Focus,1.6,Diesel,2012,14805,24414,10
Ford,Mondeo,1.8,Diesel,1999,151005,4214,23
VW,Polo,1.4,Petrol,1989,253029,529,33
VW,Golf,1.4,Petrol,2013,91650,12047,9
Ford,Focus,1.8,Hybrid,2004,119204,8731,18
Toyota,Yaris,1.0,Petrol,2016,30815,17530,6
Ford,Mondeo,1.4,Diesel,2012,72133,15984,10
VW,Golf,1.4,Diesel,2007,97864,8108,15
Toyota,RAV4,1.8,Hybrid,2003,89333,12429,19
BMW,X3,3.0,Petrol,2015,35688,40067,7
Ford,Mondeo,2.0,Diesel,2014,94746,18646,8
VW,Golf,1.8,Diesel,2001,213307,2389,21
Toyota,Prius,1.4,Hybrid,2006,83607,11859,16
Ford,Mondeo,2.0,Petrol,2003,105366,7892,19
Ford,Fiesta,1.2,Petrol,2010,93251,7412,12
Ford,Focus,2.0,Petrol,1989,252129,901,33
BMW,Z4,2.4,Petrol,2007,86195,14440,15
VW,Golf,1.6,Petrol,1997,172856,2339,25
Ford,Fiesta,1.4,Petrol,1993,233233,807,29
Toyota,Prius,1.8,Hybrid,2004,55907,14158,18
VW,Polo,2.0,Petrol,2015,39761,19505,7
Ford,Mondeo,1.8,Diesel,1995,185992,2403,27
VW,Passat,1.6,Diesel,1997,164705,3279,25
Toyota,Yaris,1.2,Petrol,1986,234183,538,36
Ford,Mondeo,1.8,Diesel,2002,159768,4788,20
VW,Passat,1.4,Diesel,2011,97223,13255,11
Porsche,911,3.5,Petrol,2021,13552,148511,1
VW,Polo,1.0,Petrol,1999,215262,1229,23
Toyota,Yaris,1.4,Petrol,1995,116517,2870,27
Ford,Fiesta,1.0,Petrol,2017,37481,15565,5
Toyota,Prius,1.4,Hybrid,2010,119991,11854,12
Toyota,Prius,1.8,Hybrid,1992,151503,3151,30
VW,Golf,1.4,Diesel,2020,21714,31489,2
Ford,Focus,1.4,Petrol,1995,294932,752,27
Toyota,Yaris,1.2,Hybrid,2007,122510,6779,15
Toyota,RAV4,2.4,Hybrid,2018,16975,61479,4
Toyota,Prius,1.4,Hybrid,2013,96027,17314,9
Toyota,Yaris,1.0,Hybrid,2002,89335,5672,20
Ford,Mondeo,1.8,Diesel,2022,7103,52048,0
Ford,Focus,1.8,Petrol,1996,170239,2825,26
Toyota,RAV4,2.4,Petrol,1998,91624,8431,24
BMW,Z4,2.4,Petrol,1999,110674,7089,23
Toyota,RAV4,2.4,Hybrid,2000,128133,8793,22
Porsche,Cayenne,2.6,Petrol,2009,83384,25079,13
BMW,Z4,2.0,Petrol,2021,9435,53787,1
VW,Golf,1.4,Petrol,2006,94800,7386,16
Ford,Fiesta,1.0,Petrol,2003,97020,4129,19
Toyota,RAV4,2.0,Hybrid,1999,157042,5948,23
Porsche,Cayenne,4.0,Petrol,1994,82135,11543,28
BMW,X3,3.0,Petrol,2009,80441,20163,13
Ford,Focus,1.0,Diesel,2019,25702,28986,3
BMW,X3,2.4,Diesel,1992,128951,4259,30
Ford,Focus,1.6,Petrol,2020,18154,38923,2
Toyota,RAV4,2.2,Hybrid,1989,416143,285,33
Toyota,RAV4,1.8,Hybrid,2002,114472,9667,20
Toyota,RAV4,1.8,Hybrid,1989,319288,663,33
BMW,M5,4.4,Petrol,1990,67926,12860,32
VW,Polo,1.2,Diesel,2005,88648,5914,17
Toyota,Yaris,1.4,Petrol,1996,221627,1268,26
BMW,Z4,2.0,Petrol,1987,240109,972,35
VW,Passat,1.6,Petrol,2005,147749,6124,17
Ford,Focus,2.0,Petrol,2016,52721,27205,6
VW,Golf,2.0,Diesel,1993,244868,1109,29
Porsche,Cayenne,2.6,Petrol,1993,183951,3907,29
VW,Golf,1.2,Diesel,1996,141582,2578,26
Ford,Fiesta,1.4,Petrol,2015,21376,17676,7
Ford,Fiesta,1.4,Petrol,2009,45501,10294,13
VW,Passat,1.8,Diesel,2001,136434,5723,21
Ford,Mondeo,1.4,Diesel,1997,143629,3453,25
Toyota,Prius,1.4,Hybrid,2007,70850,13832,15
BMW,X3,2.0,Petrol,1996,152905,3988,26
VW,Polo,1.4,Petrol,2011,86986,9183,11
Toyota,Prius,1.8,Hybrid,1999,133179,5825,23
Toyota,Yaris,1.0,Hybrid,2017,61406,18641,5
Ford,Fiesta,1.2,Petrol,1992,164754,1276,30
Porsche,911,2.6,Petrol,2012,50831,56598,10
Ford,Fiesta,1.0,Diesel,1990,165601,1063,32
VW,Polo,1.6,Petrol,2018,48912,20153,4
VW,Polo,1.6,Petrol,1988,232124,641,34
VW,Golf,1.2,Hybrid,2003,132954,5033,19
VW,Passat,2.0,Petrol,1999,108571,6236,23
Toyota,RAV4,1.8,Hybrid,1984,69189,4023,38
Toyota,Prius,1.8,Hybrid,1993,269022,1188,29
Ford,Focus,1.0,Petrol,2012,71202,13066,10
VW,Polo,1.4,Petrol,2019,15792,24419,3
VW,Golf,1.4,Petrol,2008,72528,9858,14
Ford,Fiesta,1.4,Petrol,2010,78582,8875,12
Ford,Fiesta,1.0,Petrol,2015,50721,12567,7
Toyota,Yaris,1.2,Petrol,2003,193538,2404,19
Toyota,Prius,1.4,Hybrid,1995,211518,2027,27
Toyota,Prius,1.0,Hybrid,2018,42396,29182,4
VW,Passat,2.0,Diesel,1999,173309,3895,23
Porsche,Cayenne,4.0,Petrol,1994,68786,12640,28
VW,Golf,1.4,Diesel,1999,37630,7087,23
Ford,Mondeo,1.8,Diesel,1995,115982,4258,27
VW,Passat,2.0,Petrol,1993,154497,2911,29
Toyota,RAV4,2.0,Hybrid,2016,68020,36083,6
Toyota,Yaris,1.4,Hybrid,1995,159374,2446,27
VW,Golf,1.4,Petrol,2016,29581,21973,6
VW,Polo,2.0,Petrol,2015,53960,17874,7
VW,Passat,1.4,Diesel,2017,21671,32139,5
Ford,Fiesta,1.0,Petrol,2005,116145,4092,17
Toyota,Yaris,1.4,Hybrid,1994,93905,3810,28
Ford,Mondeo,1.6,Diesel,2011,59014,17428,11
Ford,Mondeo,1.4,Diesel,2016,46840,24563,6
BMW,X3,3.0,Diesel,1993,228095,2185,29
Porsche,718 Cayman,4.0,Petrol,1996,222698,3550,26
VW,Passat,1.6,Diesel,2013,49387,22359,9
BMW,M5,4.0,Petrol,1998,196518,7636,24
Ford,Mondeo,1.8,Diesel,2007,71648,13029,15
VW,Passat,2.0,Diesel,2012,65035,21160,10
VW,Passat,1.8,Diesel,2021,19231,48223,1
Toyota,RAV4,2.4,Hybrid,2016,31358,49640,6
VW,Passat,1.8,Diesel,2009,126003,10591,13
VW,Passat,1.8,Diesel,2005,203757,4233,17
VW,Passat,1.8,Diesel,2016,38573,30936,6
VW,Polo,1.4,Petrol,2005,67257,7045,17
Ford,Fiesta,1.2,Petrol,2000,57497,4852,22
VW,Golf,1.2,Hybrid,2018,39046,26392,4
Toyota,RAV4,2.2,Petrol,2005,168569,7043,17
Ford,Focus,1.4,Petrol,2005,104420,7668,17
Ford,Fiesta,1.0,Petrol,1995,220409,876,27
VW,Polo,1.6,Petrol,1990,178443,1178,32
Toyota,Yaris,1.4,Petrol,2011,62733,12215,11
BMW,Z4,2.4,Petrol,1997,57146,9011,25
Ford,Focus,1.4,Diesel,2003,89280,7863,19
Ford,Fiesta,1.2,Petrol,2015,58525,13103,7
Toyota,Prius,1.4,Hybrid,2002,61839,10518,20
Porsche,718 Cayman,4.0,Petrol,2022,4760,100738,0
Toyota,Yaris,1.2,Petrol,1992,235483,793,30
VW,Passat,1.4,Diesel,2015,23623,27823,7
Ford,Focus,1.6,Petrol,2016,45738,25411,6
VW,Golf,1.8,Diesel,1994,124215,3170,28
VW,Golf,1.2,Petrol,2001,142471,3402,21
Ford,Focus,1.4,Petrol,1997,142574,3348,25
VW,Golf,1.6,Diesel,2005,118670,6494,17
VW,Passat,2.0,Diesel,1991,213862,1603,31
Ford,Mondeo,1.8,Diesel,1996,141921,3714,26
Toyota,Yaris,1.4,Petrol,2003,103144,5409,19
VW,Polo,1.4,Petrol,1998,222686,1272,24
BMW,X3,3.0,Diesel,2009,120071,15846,13
Toyota,RAV4,1.8,Hybrid,2020,13617,61946,2
VW,Golf,2.0,Petrol,2021,9503,40922,1
VW,Passat,1.4,Diesel,2005,122510,7350,17
Ford,Focus,2.0,Hybrid,1990,124136,3484,32
VW,Polo,1.6,Petrol,1999,53665,5512,23
BMW,M5,4.4,Petrol,1998,87683,19147,24
Toyota,Prius,1.4,Hybrid,1996,278179,1174,26
Ford,Fiesta,1.2,Petrol,1989,38505,2620,33
Porsche,Cayenne,3.0,Petrol,2008,84361,25031,14
BMW,M5,4.4,Petrol,1998,204279,7479,24
Ford,Mondeo,1.6,Diesel,2015,47338,24491,7
Ford,Fiesta,1.4,Petrol,1991,116306,1902,31
Ford,Focus,1.8,Petrol,1994,290223,834,28
VW,Polo,1.4,Diesel,1999,119479,3410,23
Toyota,RAV4,2.2,Hybrid,2008,78744,20649,14
VW,Polo,1.6,Petrol,1999,190954,1927,23
BMW,Z4,2.4,Petrol,2018,31505,42717,4
Toyota,RAV4,2.2,Hybrid,1997,113086,7738,25
Toyota,Prius,1.8,Hybrid,2012,79135,20692,10
Ford,Fiesta,1.0,Petrol,1993,235324,669,29
Ford,Fiesta,1.0,Petrol,2009,68618,7506,13
Ford,Mondeo,1.6,Diesel,2002,163599,4372,20
VW,Polo,2.0,Petrol,2018,30793,25112,4
Ford,Fiesta,1.4,Petrol,2018,21342,21593,4
VW,Golf,1.4,Hybrid,1998,118891,4346,24
VW,Passat,1.6,Diesel,2009,130182,9664,13
VW,Passat,1.4,Diesel,2009,81750,12947,13
VW,Golf,1.4,Petrol,1995,171227,1941,27
Ford,Fiesta,1.4,Petrol,2016,52798,15690,6
Ford,Fiesta,1.4,Diesel,1999,244231,1143,23
VW,Golf,1.2,Diesel,1996,174099,1969,26
Toyota,RAV4,2.0,Hybrid,1987,149266,2849,35
Toyota,Prius,1.8,Hybrid,1996,232917,2026,26
VW,Golf,2.0,Petrol,2005,86445,8765,17
VW,Passat,1.8,Diesel,2013,58638,22369,9
VW,Polo,1.2,Petrol,2003,45996,6537,19
Ford,Fiesta,1.2,Petrol,2016,46350,15120,6
BMW,X3,2.4,Petrol,1992,284104,1035,30
Ford,Mondeo,2.0,Diesel,2003,160094,5380,19
Ford,Focus,2.0,Petrol,1995,230045,1646,27
VW,Passat,1.8,Diesel,1997,160499,3602,25
Toyota,Prius,1.8,Hybrid,1999,196507,3428,23
Toyota,Prius,1.4,Hybrid,2018,32205,36677,4
Toyota,Yaris,1.4,Hybrid,2002,71273,7602,20
VW,Polo,2.0,Petrol,2015,43493,19071,7
VW,Golf,1.8,Petrol,2003,116000,5859,19
Ford,Focus,1.4,Diesel,2015,60061,21336,7
VW,Passat,2.0,Petrol,2017,60131,29039,5
Ford,Mondeo,1.4,Petrol,1995,156378,2593,27
Ford,Mondeo,1.6,Diesel,1993,148573,2716,29
BMW,X3,3.0,Petrol,1991,204555,2249,31
BMW,M5,5.0,Petrol,2006,55096,43295,16
Toyota,Prius,1.4,Hybrid,1993,146694,3089,29
Ford,Mondeo,1.4,Hybrid,2007,63699,13843,15
Toyota,RAV4,2.2,Hybrid,1999,246346,2843,23
Toyota,Yaris,1.4,Hybrid,1998,110439,4405,24
BMW,X3,2.0,Diesel,2017,37610,38807,5
Ford,Fiesta,1.2,Petrol,2010,64169,9051,12
Toyota,RAV4,1.8,Petrol,1995,187129,2790,27
Toyota,Prius,1.8,Hybrid,2003,106477,9336,19
Toyota,RAV4,2.0,Hybrid,1988,191776,2126,34
VW,Golf,2.0,Petrol,2008,74575,11621,14
Ford,Focus,1.0,Diesel,1993,272312,723,29
BMW,M5,4.0,Petrol,2007,46459,43687,15
Ford,Focus,1.4,Diesel,1984,156066,1323,38
Porsche,718 Cayman,4.0,Petrol,2005,117441,15685,17
Toyota,Prius,1.8,Hybrid,2001,193110,4035,21
Porsche,911,3.0,Petrol,1990,242673,3030,32
VW,Polo,1.6,Petrol,1999,152816,2663,23
BMW,X3,2.0,Petrol,2011,77846,19150,11
VW,Golf,1.2,Hybrid,1996,123980,3386,26
Ford,Mondeo,1.8,Diesel,2006,76107,11827,16
Ford,Focus,1.0,Petrol,2015,48814,18440,7
Ford,Mondeo,1.8,Diesel,1999,125063,5184,23
Ford,Fiesta,1.2,Petrol,1995,248873,740,27
BMW,Z4,2.0,Petrol,1990,141684,2789,32
Ford,Focus,1.6,Diesel,2005,134693,6823,17
VW,Polo,1.2,Petrol,1994,227159,866,28
Ford,Fiesta,1.0,Petrol,1998,124714,2402,24
BMW,Z4,2.0,Petrol,2012,66024,21108,10
Ford,Mondeo,2.0,Diesel,2011,50235,20599,11
VW,Golf,1.8,Petrol,2003,70156,8138,19
BMW,Z4,2.0,Petrol,2005,125141,8643,17
Toyota,Prius,1.8,Hybrid,1993,132625,3921,29
Toyota,Prius,1.4,Hybrid,1996,174659,2989,26
Ford,Mondeo,1.8,Diesel,2006,100320,9966,16
Ford,Mondeo,2.0,Diesel,1995,181305,2637,27
BMW,Z4,2.4,Petrol,2010,86293,17625,12
Ford,Focus,1.4,Diesel,1999,130354,4427,23
Toyota,Yaris,1.2,Hybrid,2005,107422,6653,17
VW,Polo,1.0,Petrol,2011,76021,8374,11
Toyota,Yaris,1.4,Hybrid,2009,58631,13173,13
VW,Golf,2.0,Diesel,1996,220373,1694,26
Toyota,Prius,1.0,Hybrid,1993,189982,1813,29
VW,Golf,1.8,Petrol,1990,110955,2558,32
Toyota,RAV4,2.2,Hybrid,2002,93641,12465,20
Toyota,RAV4,2.4,Hybrid,2013,34981,39794,9
VW,Polo,1.2,Petrol,2018,36996,18759,4
VW,Passat,2.0,Diesel,1987,302008,542,35
Ford,Fiesta,1.2,Petrol,1993,229724,771,29
Ford,Focus,1.6,Petrol,1991,246712,968,31
BMW,M5,4.4,Petrol,2011,100673,41486,11
VW,Golf,1.8,Diesel,2008,123677,8095,14
Ford,Fiesta,1.4,Petrol,2006,55354,7926,16
Toyota,Prius,1.4,Hybrid,2009,87684,14076,13
VW,Polo,2.0,Diesel,2010,104171,9523,12
Ford,Fiesta,1.2,Petrol,1998,173142,1773,24
Toyota,Yaris,1.0,Hybrid,2009,164066,5057,13
BMW,Z4,2.2,Petrol,2015,49103,30133,7
Toyota,Yaris,1.2,Petrol,1993,173014,1473,29
VW,Passat,1.8,Diesel,2006,83521,11872,16
Toyota,Prius,1.0,Hybrid,2003,146917,5077,19
VW,Polo,2.0,Petrol,2010,92020,9908,12
Ford,Mondeo,2.0,Hybrid,1996,121790,5244,26
Porsche,911,3.0,Petrol,2007,105900,29865,15
Ford,Mondeo,1.8,Diesel,2007,93083,11226,15
Toyota,Prius,1.8,Hybrid,2014,73572,24558,8
Toyota,Yaris,1.4,Hybrid,2015,30546,23321,7
Toyota,RAV4,2.4,Petrol,2005,133154,9830,17
Ford,Focus,1.8,Petrol,2006,141192,6994,16
Toyota,Prius,1.0,Hybrid,2009,73848,13091,13
VW,Golf,1.4,Petrol,2001,158881,3212,21
VW,Passat,1.6,Petrol,1993,154437,2605,29
Ford,Fiesta,1.0,Petrol,1997,163029,1649,25
VW,Passat,1.4,Diesel,1999,138675,4338,23
VW,Passat,1.8,Diesel,2020,18455,45304,2
Ford,Fiesta,1.0,Petrol,2016,56111,12985,6
Ford,Mondeo,2.0,Diesel,2007,142926,8086,15
Ford,Fiesta,1.4,Petrol,2013,97338,9494,9
VW,Polo,1.2,Petrol,2016,40137,16113,6
VW,Passat,2.0,Diesel,2004,138424,7252,18
Toyota,Yaris,1.2,Petrol,1991,234197,751,31
BMW,M5,4.0,Petrol,1994,306614,2118,28
Toyota,RAV4,2.0,Hybrid,2007,106847,15060,15
VW,Polo,1.0,Petrol,2009,93180,6500,13
Ford,Mondeo,2.0,Diesel,2012,78715,18269,10
Ford,Fiesta,1.4,Petrol,1988,189199,856,34
Ford,Fiesta,1.0,Petrol,2015,87374,9846,7
Ford,Fiesta,1.0,Petrol,2006,112429,4500,16
VW,Polo,1.6,Petrol,2019,16468,26010,3
Ford,Mondeo,1.6,Diesel,2008,116214,9534,14
VW,Polo,1.6,Petrol,2007,139366,5063,15
Toyota,RAV4,2.4,Petrol,1993,194234,2651,29
VW,Passat,1.6,Petrol,2013,88165,16454,9
Ford,Mondeo,1.4,Diesel,1991,202472,1405,31
VW,Polo,2.0,Petrol,2001,121814,4356,21
Ford,Mondeo,2.0,Diesel,2004,137485,6916,18
Ford,Mondeo,1.8,Diesel,2001,157269,4573,21
Toyota,RAV4,1.8,Petrol,2011,57411,21903,11
VW,Polo,1.4,Petrol,1988,263725,448,34
VW,Golf,2.0,Petrol,2002,127888,5271,20
BMW,Z4,2.0,Petrol,2003,49995,12838,19
Ford,Mondeo,1.8,Diesel,2008,126736,9324,14
Toyota,Yaris,1.4,Petrol,1987,286352,382,35
VW,Passat,2.0,Diesel,1985,170625,1567,37
Ford,Fiesta,1.4,Petrol,2016,40561,16915,6
VW,Golf,1.6,Petrol,1995,167686,2138,27
Ford,Mondeo,1.8,Diesel,2015,68436,22692,7
Ford,Fiesta,1.4,Diesel,1994,333772,351,28
VW,Passat,1.8,Diesel,2003,133414,6698,19
VW,Golf,1.2,Diesel,2013,53539,15138,9
Toyota,Yaris,1.4,Hybrid,1992,220555,1177,30
VW,Golf,1.2,Diesel,1996,38895,5332,26
Ford,Focus,1.4,Diesel,2005,121625,7069,17
Ford,Fiesta,1.0,Petrol,2002,159765,2365,20
Toyota,Prius,1.0,Hybrid,1997,188516,2397,25
VW,Polo,2.0,Petrol,2019,21868,28232,3
Toyota,Yaris,1.4,Petrol,1988,166704,1202,34
VW,Golf,1.8,Petrol,2001,113724,5217,21
Toyota,Yaris,1.2,Hybrid,2003,104676,5942,19
Ford,Fiesta,1.0,Petrol,1986,204252,555,36
Ford,Mondeo,1.8,Diesel,1996,148721,3515,26
Ford,Focus,1.4,Petrol,2003,109081,6482,19
Ford,Focus,1.0,Diesel,1991,229331,942,31
Toyota,Prius,1.8,Hybrid,2003,124209,8158,19
Ford,Fiesta,1.4,Petrol,1999,135772,2786,23
VW,Polo,2.0,Petrol,2003,169588,3380,19
Ford,Mondeo,2.0,Diesel,1999,182999,3394,23
Ford,Focus,1.8,Hybrid,2016,31926,35117,6
VW,Polo,2.0,Petrol,1997,167123,2313,25
BMW,Z4,2.4,Petrol,1994,73313,6633,28
VW,Polo,1.4,Diesel,2014,74656,12826,8
Toyota,Prius,1.8,Hybrid,2014,21520,33842,8
Toyota,RAV4,2.4,Hybrid,1991,183361,3060,31
Toyota,Yaris,1.0,Hybrid,1996,142707,2533,26
Ford,Fiesta,1.4,Diesel,2000,163901,2485,22
BMW,X3,2.0,Diesel,2004,108399,10128,18
VW,Polo,1.6,Petrol,2010,79200,9696,12
